,AUC,AP
common_neighbors,0.9929260410882843,0.9952407656659376
jaccard_coefficient,0.9934053682297712,0.9957171613835593
adamic_adar,0.9936163015496442,0.9958776119858066
resource_allocation,0.9939946721518348,0.9961154456828174
preferential_attachment,0.8713651708646712,0.9281923190797012
gcn,0.7236569724016125,0.7536343605670452
graphsage,0.5922397107972954,0.537804282152255
gat,0.4895491713740937,0.4625720479495292
