,AUC,AP
common_neighbors,0.9644969834360445,0.993826333994412
jaccard_coefficient,0.9644832679284102,0.9938275097970479
adamic_adar,0.9645179026927144,0.993831710220449
resource_allocation,0.9645148046901045,0.9938313623529675
preferential_attachment,0.8394365116633488,0.9804417579301025
gcn,0.700244583661865,0.7478945364775277
graphsage,0.6962239429662087,0.7473648963098518
gat,0.6715447537584306,0.6986264018249428
